escenario,diseno_ciclo,semilla,verde_s,fase,direccion,carril,tipo,spawn_s,cruce_s,demora_total_s,idle_time_s,prt_gastado_s
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,2,bike,150.033,172.233,22.2,12.333,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,2,bike,148.033,178.4,30.367,22.0,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,1,bike,155.05,178.417,23.367,12.267,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,2,car,136.983,178.433,41.45,26.683,3.0
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,1,truck,149.033,178.433,29.4,14.2,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,1,car,161.067,180.317,19.25,6.517,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,2,bus,151.033,180.383,29.35,17.25,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,2,bus,142.033,180.567,38.533,19.667,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,1,bus,160.067,180.633,20.567,4.783,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,1,bike,167.067,182.217,15.15,3.233,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,1,bike,164.067,182.533,18.467,6.233,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,2,bus,153.05,182.733,29.683,16.733,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,1,bike,166.067,184.383,18.317,5.733,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,2,truck,154.05,185.067,31.017,17.233,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,1,bus,168.067,185.117,17.05,0.0,0.0
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,2,bike,171.067,185.517,14.45,0.0,0.0
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,2,car,157.05,186.7,29.65,18.05,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,1,bike,174.067,194.433,20.367,8.45,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,1,truck,158.05,194.45,36.4,16.667,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,2,bus,169.067,194.45,25.383,11.2,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,2,bus,159.067,194.467,35.4,18.433,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,1,truck,176.083,196.417,20.333,3.55,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,1,car,165.067,196.5,31.433,15.083,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,2,bike,172.067,196.533,24.467,11.4,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,2,truck,170.067,196.8,26.733,11.7,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,1,bike,175.083,198.383,23.3,8.133,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,2,bike,181.083,198.4,17.317,3.883,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,2,bus,173.067,199.017,25.95,10.2,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,2,bus,179.083,201.35,22.267,5.683,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,2,bus,183.083,201.867,18.783,0.0,0.0
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,2,car,185.083,203.983,18.9,3.033,3.0
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,1,car,178.083,210.433,32.35,18.1,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,2,bike,182.083,210.433,28.35,13.55,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,1,bike,190.083,210.433,20.35,7.467,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,2,car,162.067,210.45,48.383,36.267,3.0
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,1,bus,191.083,212.433,21.35,2.967,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,1,bus,180.083,212.583,32.5,14.25,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,2,bus,163.067,212.6,49.533,33.75,3.0
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,2,bike,198.083,213.233,15.15,0.0,0.0
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,1,bike,193.083,214.367,21.283,7.45,4.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,2,truck,177.083,214.933,37.85,21.233,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,2,car,184.083,216.683,32.6,18.733,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,2,bike,186.083,218.45,32.367,19.433,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,1,car,192.083,226.433,34.35,17.1,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,2,bike,197.083,226.433,29.35,16.8,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,2,bus,187.083,226.45,39.367,19.1,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,1,bus,194.083,226.45,32.367,15.0,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,1,bike,199.083,228.383,29.3,13.317,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,2,bus,204.117,228.433,24.317,6.4,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,2,car,189.083,228.6,39.517,22.467,4.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,1,car,202.083,228.6,26.517,11.767,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,1,car,201.083,230.317,29.233,11.083,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,2,bike,209.117,230.367,21.25,7.75,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,2,bike,195.083,230.483,35.4,19.483,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,1,car,203.1,230.617,27.517,12.25,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,2,bike,196.083,232.333,36.25,19.983,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,1,car,207.117,232.617,25.5,9.75,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,1,bus,210.117,233.45,23.333,0.0,0.0
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,2,car,200.083,234.383,34.3,15.95,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,1,car,208.117,234.633,26.517,10.25,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,1,bus,211.117,235.3,24.183,0.0,0.0
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,2,truck,217.117,236.367,19.25,0.0,0.0
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,1,car,205.117,242.433,37.317,21.55,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,2,truck,188.083,242.467,54.383,35.917,3.0
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,2,truck,206.117,242.467,36.35,15.033,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,1,car,228.117,243.55,15.433,0.0,0.0
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,2,bike,214.117,244.45,30.333,14.317,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,2,car,213.117,244.5,31.383,16.05,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,1,truck,212.117,244.583,32.467,12.117,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,2,bus,218.117,246.65,28.533,6.15,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,1,truck,215.117,246.8,31.683,10.617,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,2,truck,219.117,246.8,27.683,7.867,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,2,truck,227.117,247.65,20.533,0.0,0.0
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,2,bike,231.117,248.1,16.983,0.0,0.0
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,1,bike,216.117,248.417,32.3,16.617,6.0
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,2,bus,229.117,250.35,21.233,0.0,0.0
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,2,bike,220.117,258.45,38.333,21.25,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,1,bike,222.117,258.45,36.333,18.317,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,1,bus,221.117,258.467,37.35,16.583,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,2,bus,230.117,258.483,28.367,8.4,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,2,bike,223.117,260.3,37.183,19.75,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,1,bike,233.117,260.55,27.433,11.617,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,2,truck,235.117,260.817,25.7,4.9,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,1,bus,240.117,262.217,22.1,0.0,0.0
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,2,car,224.117,262.233,38.117,18.467,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,2,truck,236.117,263.033,26.917,5.4,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,2,bus,225.117,264.55,39.433,14.45,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,2,bike,241.117,264.583,23.467,7.467,3.0
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,1,truck,243.117,266.2,23.083,0.0,0.0
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,2,car,246.117,266.667,20.55,2.367,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,2,truck,226.117,266.9,40.783,14.817,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,2,bus,239.117,274.517,35.4,11.683,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,2,truck,234.117,274.533,40.417,18.333,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,1,truck,238.117,274.533,36.417,16.55,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,2,car,248.117,276.567,28.45,10.2,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,1,truck,242.117,276.733,34.617,14.033,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,2,bus,244.117,276.867,32.75,8.183,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,1,bike,251.133,278.517,27.383,11.9,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,2,bus,245.117,279.217,34.1,8.683,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,2,bus,256.133,279.567,23.433,0.0,0.0
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,1,car,253.133,280.533,27.4,9.917,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,2,bus,247.117,281.55,34.433,8.183,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,2,bike,258.167,281.717,23.55,6.067,6.0
