escenario,diseno_ciclo,semilla,verde_s,fase,direccion,carril,tipo,spawn_s,cruce_s,demora_total_s,idle_time_s,prt_gastado_s
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,truck,85.783,113.8,28.017,19.55,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,1,truck,96.983,113.817,16.833,5.267,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,1,truck,103.1,115.383,12.283,0.0,0.0
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,2,car,106.15,115.683,9.533,2.783,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,1,car,88.833,115.8,26.967,15.167,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,bus,87.817,116.0,28.183,19.133,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,1,car,107.167,117.617,10.45,0.0,0.0
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,1,bike,98.0,117.7,19.7,8.617,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,truck,95.967,118.333,22.367,12.35,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,truck,99.017,120.533,21.517,10.783,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,1,car,108.183,120.9,12.717,0.0,0.0
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,2,car,114.3,121.583,7.283,0.0,0.0
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,1,car,91.9,127.817,35.917,25.967,4.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,1,car,94.95,127.817,32.867,23.133,3.0
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,2,bike,116.35,127.817,11.467,4.517,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,2,bus,102.083,127.85,25.767,13.233,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,1,car,100.033,129.833,29.8,19.533,3.0
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,1,car,117.383,129.833,12.45,1.983,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,2,truck,104.117,130.183,26.067,12.567,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,1,car,101.067,131.85,30.783,20.017,3.0
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,2,bike,113.283,131.933,18.65,8.25,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,2,bus,115.333,134.367,19.033,4.45,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,1,car,112.267,141.817,29.55,16.333,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,1,bus,118.4,141.833,23.433,9.917,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,bus,109.2,141.85,32.65,21.333,3.0
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,2,truck,126.55,141.85,15.3,5.583,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,1,car,125.533,143.833,18.3,4.567,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,1,bus,122.483,144.167,21.683,7.333,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,bus,110.217,144.183,33.967,21.783,3.0
