escenario,diseno_ciclo,semilla,verde_s,fase,direccion,carril,tipo,spawn_s,cruce_s,demora_total_s,idle_time_s,prt_gastado_s
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,1,car,191.517,226.417,34.9,17.633,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,2,bike,196.55,226.417,29.867,17.3,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,2,bus,186.5,226.433,39.933,19.65,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,1,bus,193.533,226.433,32.9,15.533,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,1,bike,198.567,228.367,29.8,13.817,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,2,bus,203.567,228.417,24.85,6.933,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,2,car,188.517,228.583,40.067,23.0,4.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,1,car,201.567,228.583,27.017,12.283,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,1,car,200.567,230.3,29.733,11.583,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,2,bike,208.567,230.35,21.783,8.283,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,2,bike,194.533,230.467,35.933,20.0,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,1,car,202.567,230.6,28.033,12.783,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,2,bike,195.55,232.317,36.767,20.5,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,1,car,206.567,232.6,26.033,10.283,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,1,bus,209.567,232.9,23.333,0.0,0.0
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,2,car,199.567,234.367,34.8,16.45,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,1,car,207.567,234.617,27.05,10.783,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,1,bus,210.567,234.75,24.183,0.0,0.0
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,2,truck,216.583,235.833,19.25,0.0,0.0
AMBER,EXTENDIDO,42,10.0,Este-Oeste,left,2,car,212.567,242.417,29.85,14.517,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,left,1,truck,211.567,242.433,30.867,10.517,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,2,truck,205.567,242.45,36.883,15.567,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,1,car,227.617,243.05,15.433,0.0,0.0
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,2,bike,213.567,244.433,30.867,14.833,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,left,2,truck,218.583,244.567,25.983,6.167,1.5
